path,real,fake
./face_image/fake/JFH50GFJUL.jpg,0,1
./face_image/fake/0VPS5TI60G.jpg,0,1
./face_image/real/61911.jpg,1,0
./face_image/fake/APADHGXN31.jpg,0,1
./face_image/fake/SJO2UL69C2.jpg,0,1
./face_image/real/37772.jpg,1,0
./face_image/real/40256.jpg,1,0
./face_image/real/54589.jpg,1,0
./face_image/fake/0G2YBIQOIR.jpg,0,1
./face_image/real/43866.jpg,1,0
./face_image/real/05455.jpg,1,0
./face_image/fake/0Z698IN4IE.jpg,0,1
./face_image/real/60459.jpg,1,0
./face_image/fake/71BRA52CQ2.jpg,0,1
./face_image/fake/J5IQ400FY1.jpg,0,1
./face_image/real/12870.jpg,1,0
./face_image/fake/SZF5RVHI89.jpg,0,1
./face_image/real/33647.jpg,1,0
./face_image/fake/5HHTOV6DBM.jpg,0,1
./face_image/fake/DAQIONY36I.jpg,0,1
./face_image/real/27680.jpg,1,0
./face_image/fake/Y1WZ1N4Q9R.jpg,0,1
./face_image/fake/FOLAJXCOXG.jpg,0,1
./face_image/fake/6NN4XJ7K1B.jpg,0,1
./face_image/fake/S51EXPSLNQ.jpg,0,1
./face_image/fake/ZOXB3WXP5I.jpg,0,1
./face_image/fake/G29HSGB2GB.jpg,0,1
./face_image/fake/8GSHXH8Q7D.jpg,0,1
./face_image/real/58954.jpg,1,0
./face_image/real/18419.jpg,1,0
./face_image/real/40360.jpg,1,0
./face_image/real/60850.jpg,1,0
./face_image/fake/WXIEC6OXUP.jpg,0,1
./face_image/fake/TM6L1JCX1J.jpg,0,1
./face_image/real/15412.jpg,1,0
./face_image/real/46726.jpg,1,0
./face_image/real/66167.jpg,1,0
./face_image/fake/QO0HQIDBUW.jpg,0,1
./face_image/fake/D5PMKCZNO0.jpg,0,1
./face_image/real/56116.jpg,1,0
./face_image/fake/EKOA7G5S58.jpg,0,1
./face_image/fake/VZHZYSHU1J.jpg,0,1
./face_image/fake/NHBDWY69UF.jpg,0,1
./face_image/fake/0ZCYCKULVE.jpg,0,1
./face_image/real/67835.jpg,1,0
./face_image/fake/HVHK5SB90N.jpg,0,1
./face_image/real/68629.jpg,1,0
./face_image/fake/VKPN9RH5TQ.jpg,0,1
./face_image/fake/F8TEV4RVZC.jpg,0,1
./face_image/real/20798.jpg,1,0
./face_image/fake/YOLTHWBDDA.jpg,0,1
./face_image/real/13407.jpg,1,0
./face_image/real/20335.jpg,1,0
./face_image/fake/OC4ICAS539.jpg,0,1
./face_image/fake/LLRBSA801G.jpg,0,1
./face_image/fake/N0398NJWGZ.jpg,0,1
./face_image/real/12154.jpg,1,0
./face_image/real/42995.jpg,1,0
./face_image/real/59346.jpg,1,0
./face_image/real/50996.jpg,1,0
./face_image/fake/337B5U8URA.jpg,0,1
./face_image/fake/0LK0LGSO1Z.jpg,0,1
./face_image/fake/2MIUYTS45S.jpg,0,1
./face_image/real/31390.jpg,1,0
./face_image/fake/OO15L06T1R.jpg,0,1
./face_image/real/48273.jpg,1,0
./face_image/real/53558.jpg,1,0
./face_image/fake/WZIIJM1X82.jpg,0,1
./face_image/real/55762.jpg,1,0
./face_image/real/24589.jpg,1,0
./face_image/real/59192.jpg,1,0
./face_image/real/38867.jpg,1,0
./face_image/real/58016.jpg,1,0
./face_image/fake/RZ2EP24X6Z.jpg,0,1
./face_image/real/18875.jpg,1,0
./face_image/real/49595.jpg,1,0
./face_image/fake/CRFVWKJ886.jpg,0,1
./face_image/real/66799.jpg,1,0
./face_image/real/43903.jpg,1,0
./face_image/real/22641.jpg,1,0
./face_image/real/17864.jpg,1,0
./face_image/fake/1ALR08DTAA.jpg,0,1
./face_image/fake/JNQGJE5K7L.jpg,0,1
./face_image/real/12242.jpg,1,0
./face_image/fake/PVA32I030V.jpg,0,1
./face_image/real/43909.jpg,1,0
./face_image/fake/93NSE4FRJF.jpg,0,1
./face_image/fake/NO5DIC0J7M.jpg,0,1
./face_image/fake/8MZ0QV38N4.jpg,0,1
./face_image/fake/WBAANDE5ZY.jpg,0,1
./face_image/fake/CZBLK7Y442.jpg,0,1
./face_image/fake/J0PC5YXZ8M.jpg,0,1
./face_image/real/15168.jpg,1,0
./face_image/fake/96EHSCH8WU.jpg,0,1
./face_image/real/37783.jpg,1,0
./face_image/real/17702.jpg,1,0
./face_image/real/40996.jpg,1,0
./face_image/real/19854.jpg,1,0
./face_image/fake/MKDH6YBQPV.jpg,0,1
./face_image/fake/PM9CROXECI.jpg,0,1
./face_image/real/60210.jpg,1,0
./face_image/real/34093.jpg,1,0
./face_image/real/29997.jpg,1,0
./face_image/fake/H45O4WCDJ6.jpg,0,1
./face_image/fake/JK3OP99ZDA.jpg,0,1
./face_image/fake/QKJCPA85Y0.jpg,0,1
./face_image/real/53594.jpg,1,0
./face_image/real/61732.jpg,1,0
./face_image/fake/UME0F1EICR.jpg,0,1
./face_image/real/55028.jpg,1,0
./face_image/real/18744.jpg,1,0
./face_image/fake/JDL2WVSBZU.jpg,0,1
./face_image/real/39234.jpg,1,0
./face_image/real/45456.jpg,1,0
./face_image/real/08407.jpg,1,0
./face_image/real/33784.jpg,1,0
./face_image/fake/44UKH89P6T.jpg,0,1
./face_image/real/17410.jpg,1,0
./face_image/real/21389.jpg,1,0
./face_image/fake/X6LGFFPCPH.jpg,0,1
./face_image/real/63339.jpg,1,0
./face_image/real/00862.jpg,1,0
./face_image/fake/YEJ4AEKZKZ.jpg,0,1
./face_image/real/32759.jpg,1,0
./face_image/fake/OXG6QO4TLF.jpg,0,1
./face_image/real/06869.jpg,1,0
./face_image/fake/UN44NTFCWL.jpg,0,1
./face_image/fake/5PC9JDAW5R.jpg,0,1
./face_image/real/62003.jpg,1,0
./face_image/fake/4NNH3V585W.jpg,0,1
./face_image/fake/IQ0HH1KNVZ.jpg,0,1
./face_image/real/38104.jpg,1,0
./face_image/real/59270.jpg,1,0
./face_image/real/59785.jpg,1,0
./face_image/real/65049.jpg,1,0
./face_image/fake/FLSL3TZPDW.jpg,0,1
./face_image/real/45496.jpg,1,0
./face_image/fake/YM81OJMGHW.jpg,0,1
./face_image/real/35257.jpg,1,0
./face_image/fake/FVG1MHJRPF.jpg,0,1
./face_image/real/55488.jpg,1,0
./face_image/real/46972.jpg,1,0
./face_image/real/51693.jpg,1,0
./face_image/fake/AN261MS1WT.jpg,0,1
./face_image/real/63542.jpg,1,0
./face_image/fake/0R6KNDRH5R.jpg,0,1
./face_image/fake/Y780RUAXR8.jpg,0,1
./face_image/fake/KFQN38W44T.jpg,0,1
./face_image/real/11057.jpg,1,0
./face_image/real/46795.jpg,1,0
./face_image/fake/KBGHSG8AYI.jpg,0,1
./face_image/real/06181.jpg,1,0
./face_image/real/39921.jpg,1,0
./face_image/real/54587.jpg,1,0
./face_image/real/15967.jpg,1,0
./face_image/fake/CPT4CCUP8Q.jpg,0,1
./face_image/real/25550.jpg,1,0
./face_image/fake/CG4WWMIH1Z.jpg,0,1
./face_image/fake/209UGFGT30.jpg,0,1
./face_image/real/22426.jpg,1,0
./face_image/real/63022.jpg,1,0
./face_image/real/18270.jpg,1,0
./face_image/real/62202.jpg,1,0
./face_image/real/39842.jpg,1,0
./face_image/fake/XTRCVMK12I.jpg,0,1
./face_image/fake/DGP7T2GRO6.jpg,0,1
./face_image/fake/RJX3J7ZNFO.jpg,0,1
./face_image/real/45367.jpg,1,0
./face_image/real/32019.jpg,1,0
./face_image/fake/6JSZ223Q5H.jpg,0,1
./face_image/real/50017.jpg,1,0
./face_image/fake/VPARKW1200.jpg,0,1
./face_image/real/35316.jpg,1,0
./face_image/real/18040.jpg,1,0
./face_image/fake/Q4GF9Y1YBD.jpg,0,1
./face_image/real/69355.jpg,1,0
./face_image/real/59504.jpg,1,0
./face_image/real/32044.jpg,1,0
./face_image/real/48235.jpg,1,0
./face_image/fake/Y2BUYD3XOS.jpg,0,1
./face_image/real/03069.jpg,1,0
./face_image/fake/PMFQOHTM36.jpg,0,1
./face_image/real/25255.jpg,1,0
./face_image/real/16923.jpg,1,0
./face_image/fake/VLDN89DWCF.jpg,0,1
./face_image/fake/CYZIQUZ9K5.jpg,0,1
./face_image/fake/X5WDS0C6ZM.jpg,0,1
./face_image/real/49575.jpg,1,0
